step,green_count,green_success,orange_count,orange_success,red_count,red_success
1000,0,0,94,0,6,0
6000,0,0,1,0,99,0
11000,0,0,62,4,38,6
16000,0,0,40,0,60,30
21000,1,0,45,2,54,0
26000,2,0,30,23,68,9
31000,1,0,33,0,66,0
36000,0,0,22,11,78,23
41000,0,0,22,13,78,5
46000,0,0,27,10,73,35
51000,0,0,23,22,77,2
56000,0,0,20,18,80,37
61000,0,0,18,0,82,0
66000,0,0,15,0,85,45
71000,0,0,34,0,66,35
76000,2,2,21,17,77,37
81000,0,0,6,0,94,0
86000,0,0,37,0,63,0
91000,2,2,70,17,28,4
96000,1,0,62,10,37,14
101000,0,0,88,6,12,0
106000,8,1,75,19,17,17
111000,42,38,32,0,26,19
116000,48,43,31,11,21,11
121000,26,26,69,3,5,0
126000,17,8,58,41,25,0
131000,27,26,61,47,12,0
136000,38,35,56,19,6,0
141000,65,64,29,7,6,0
146000,42,38,55,49,3,0
151000,55,55,40,31,5,0
156000,33,32,67,49,0,0
161000,55,55,41,32,4,0
166000,70,70,26,26,4,0
171000,44,44,55,53,1,0
176000,46,46,54,31,0,0
181000,78,78,22,9,0,0
186000,32,32,68,55,0,0
191000,96,96,2,2,2,0
196000,72,70,28,21,0,0
201000,100,100,0,0,0,0
206000,100,100,0,0,0,0
211000,100,100,0,0,0,0
216000,100,100,0,0,0,0
221000,98,97,2,0,0,0
226000,99,99,1,0,0,0
231000,100,100,0,0,0,0
236000,86,85,14,12,0,0
241000,100,100,0,0,0,0
246000,100,100,0,0,0,0
251000,67,67,33,33,0,0
256000,71,71,29,29,0,0
261000,100,100,0,0,0,0
266000,100,100,0,0,0,0
271000,100,100,0,0,0,0
276000,91,91,9,9,0,0
281000,100,100,0,0,0,0
286000,99,99,1,1,0,0
291000,96,96,4,0,0,0
296000,87,87,13,12,0,0
